time_week,conc_ugmL
0.0947, 0.0004
0.2841, 0.0010
0.4735, 0.0012
1.0418, 0.0013
1.0418, 0.0024
1.2312, 0.0060
1.3259, 0.0066
1.5153, 0.0075
1.9889, 0.0072
2.0836, 0.0283
2.2730, 1.0911
2.2730, 1.6786
2.2730, 1.8984
2.5571, 2.1471
3.0306, 1.8221
3.1253, 3.5128
3.1253, 4.1393
3.4095, 4.6814
3.9777, 3.9729
4.0724, 4.9786
4.2618, 5.6306
4.3565, 6.3681
4.7354, 5.8664
4.8301, 4.9786
5.1142, 6.3681
5.3983, 7.5038
5.8719, 5.9880
6.1560, 7.2021
6.2507, 8.1454
6.7242, 7.5038
7.0084, 6.3681
7.1031, 7.5038
7.1978, 8.6624
7.6713, 7.9800
7.9554, 7.2021
8.0501, 8.3142
8.3343, 9.2122
8.6184, 8.4865
9.0919, 7.5038
9.0919, 8.4865
9.2813, 9.5980
9.6602, 9.0252
9.9443, 8.1454
10.1337, 9.2122
10.3231, 10.2072
10.7019, 9.2122
10.9861, 8.3142
11.0808, 9.4032
11.2702, 10.4188
11.7437, 9.5980
11.9331, 8.6624
12.0279, 9.5980
12.3120, 10.8551
12.5961, 9.7970
12.9749, 9.0252
13.3538, 7.6593
14.0167, 6.1121
14.0167, 7.2021
14.0167, 8.3142
14.3008, 8.8419
14.8691, 7.9800
15.4373, 6.6348
16.0056, 5.4043
16.1003, 6.5001
16.1950, 7.5038
16.2897, 8.1454
16.8579, 7.3514
17.2368, 6.6348
17.5209, 5.9880
17.8997, 5.2946
17.8997, 5.2946
18.1838, 6.2388
18.1838, 6.2388
18.1838, 6.9126
18.3733, 7.9800
18.9415, 7.0559
19.3203, 6.3681
19.5097, 5.6306
19.5097, 5.6306
19.9833, 5.0818
19.9833, 5.0818
20.0780, 5.9880
20.1727, 6.9126
20.3621, 7.8180
20.8357, 7.0559
21.3092, 5.8664
22.0669, 4.5864
22.0669, 5.6306
22.1616, 6.5001
22.3510, 7.6593
22.9192, 6.7723
23.3928, 5.6306
23.9610, 4.4933
24.0557, 5.8664
24.4345, 7.5038
25.0975, 5.9880
25.9499, 4.7785
26.1393, 5.9880
26.4234, 7.6593
27.0864, 6.1121
28.0334, 4.6814
28.1281, 5.8664
28.5070, 7.3514
29.0752, 6.1121
30.1170, 4.5864
30.1170, 5.7473
30.4011, 7.2021
31.2535, 5.6306
31.8217, 4.6814
32.1058, 5.8664
32.3900, 7.5038
33.1476, 5.9880
34.0947, 4.4933
34.0947, 5.5163
34.3788, 7.3514
35.0418, 6.1121
35.9889, 4.4933
36.0836, 5.6306
36.3677, 7.3514
37.3148, 5.6306
38.3565, 4.0553
39.9666, 2.6906
